20,0,1
40,0,1
60,1,0
80,0,0
100,0,1
120,0,1
140,0,0
160,1,0
180,0,0
200,1,1
220,2,1
240,2,1
260,1,0
280,0,0
300,0,0
320,1,0
340,1,0
360,1,0
380,0,1
400,0,1
420,0,0
440,1,1
460,2,2
480,2,3
500,1,1
520,4,2
540,1,2
560,5,2
580,3,1
600,0,1
620,0,0
640,0,0
660,0,0
680,0,0
700,0,0
720,2,0
740,0,1
760,0,0
780,0,1
800,0,1
820,1,0
840,0,1
860,0,1
880,1,0
900,0,1
920,0,0
940,0,1
960,0,0
980,0,0
1000,0,0
1020,0,0
1040,0,0
1060,0,0
1080,0,0
1100,1,0
1120,0,0
1140,0,0
1160,2,0
1180,0,0
1200,1,0
1220,0,3
1240,1,0
1260,3,0
1280,0,3
1300,2,1
1320,1,0
1340,0,1
1360,2,1
1380,2,1
1400,1,1
1420,1,3
1440,0,0
1460,0,0
1480,3,0
1500,1,0
1520,1,1
1540,0,0
1560,0,1
1580,0,0
1600,0,2
1620,1,0
1640,0,1
1660,1,0
1680,1,1
1700,0,0
1720,1,1
1740,0,1
1760,1,1
1780,0,0
1800,1,0
1820,1,0
1840,1,0
1860,1,1
1880,0,0
1900,0,0
1920,1,0
1940,0,2
1960,2,0
1980,0,0
2000,1,0
2020,0,0
2040,1,1
2060,1,0
2080,1,0
2100,0,3
